id,created_at,created_at_tz,geo,place,coordinates,text,text_en,truncated,name,screen_name,sentiment,confidence,sentiment_digit,keyword,confidence_digit,confidence_digit_zero_neutral
1460458947740057600,2021-11-16 04:05:21,2021-11-16 05:05:21+01:00,,,,ESWEEBusFlotte Auf über 1 Mio Fahrtkilometern über 1 Mio kg CO2 eingespart ,"ESWEEBusFleet Over 1 million kilometres travelled, over 1 million kg of CO2 saved",False,busplaner,omnibusmagazin,Positive,0.5852577390743081,1,ESWEEBusFleet,0.5852577390743081,0.5852577390743081
1460470129050124288,2021-11-16 04:49:47,2021-11-16 05:49:47+01:00,,,, Lasst die Leute doch in Ruhe und selbst entscheiden wie wir das bei jeder anderen Impfung auch tun un , Let the people alone and decide for themselves like we do with every other vaccination.,True,Deutschland im liberalen Chaos,BRDimChaos,Negative,0.9098994969730227,-1,vaccination.,-0.9098994969730227,-0.9098994969730227
1460481161637949440,2021-11-16 05:33:38,2021-11-16 06:33:38+01:00,,,," Woher kommen plötzlich all diese Hallo ich bin und hatte Corona Propaganda Postings

Lasst die Leu "," Where are all these hello I am and had Corona propaganda postings suddenly coming from

Let the leu",True,Deutschland im liberalen Chaos,BRDimChaos,Neutral,0.04759744509787567,0,propaganda,0.04759744509787567,0.0
1460481230361665536,2021-11-16 05:33:54,2021-11-16 06:33:54+01:00,,,," Woher kommen plötzlich all diese Hallo ich bin und hatte Corona Propaganda Postings

Lasst die Leute "," Where are all these hello I am and had Corona propaganda postings suddenly coming from

Let the people",True,Deutschland im liberalen Chaos,BRDimChaos,Negative,0.968209750860913,-1,propaganda,-0.968209750860913,-0.968209750860913
1460481386469486336,2021-11-16 05:34:31,2021-11-16 06:34:31+01:00,,,," Woher kommen plötzlich all diese Hallo ich bin und hatte Corona Propaganda Postings

Lasst die Leu "," Where are all these hello I am and had Corona propaganda postings suddenly coming from

Let the leu",True,Deutschland im liberalen Chaos,BRDimChaos,Neutral,0.45914258912712413,0,propaganda,0.45914258912712413,0.0
1460485553762311936,2021-11-16 05:51:05,2021-11-16 06:51:05+01:00,,,,Kelly Family geht mit legendärem Bus auf Tour  und hat eine Überraschung parat ,Kelly Family goes on tour with legendary bus and has a surprise up its sleeve,False,WEB.DE News,WEBDENews,Negative,0.5054282487448345,-1,legendary,-0.5054282487448345,-0.5054282487448345
1460485554601082880,2021-11-16 05:51:05,2021-11-16 06:51:05+01:00,,,,Kelly Family geht mit legendärem Bus auf Tour  und hat eine Überraschung parat ,Kelly Family goes on tour with legendary bus and has a surprise up its sleeve,False,WEB.DE News - Stars,WEBDENews_Stars,Neutral,0.7600569274070303,0,legendary,0.7600569274070303,0.0
1460508866848907264,2021-11-16 07:23:43,2021-11-16 08:23:43+01:00,,,,2nd_Bass    Daß hier in amp um München die Bus  TrambahnfahrerInn ,2nd_Bass That here in amp around Munich the bus tram driversInn,True,Regina Koller,KollerRegina,Positive,0.6883016230697117,1,driversInn,0.6883016230697117,0.6883016230697117
1460511244788588288,2021-11-16 07:33:10,2021-11-16 08:33:10+01:00,,,,"Probleme mit Alkohol Im Meeting Arcis Anonyme Alkoholiker sprechen wir darüber jeden Samstag um 1900 Uhr 

Mün ","Problems with alcohol At the Arcis Alcoholics Anonymous meeting we talk about this every Saturday at 1900 hrs.

Mün",True,@bill&bob,arcismeeting,Negative,0.5012265992273871,-1,Alcoholics,-0.5012265992273871,-0.5012265992273871
1460513105780355072,2021-11-16 07:40:34,2021-11-16 08:40:34+01:00,,,,Söder um 9 Uhr bei BILD Live  Lockdown für Ungeimpfte  Muenchen Nachrichten,Söder at 9 o'clock at BILD Live Lockdown for unvaccinated Muenchen News,False,BILD München,BILD_Muenchen,Negative,0.686188018344224,-1,unvaccinated,-0.686188018344224,-0.686188018344224
